Time,5 μM SAM,10 μM SAM,20 μM SAM,50 μM SAM,100 μM SAM,200 μM SAM
6.29553,0.02109,0.02542,0.039143333,0.040956667,0.047886667,0.04003
6.33957,0.020266667,0.025583333,0.039253333,0.038523333,0.04966,0.038213333
6.38394,0.019886667,0.024333333,0.037383333,0.039333333,0.046926667,0.038543333
6.4286,0.019586667,0.024373333,0.036853333,0.042163333,0.049286667,0.039696667
6.47358,0.019356667,0.024643333,0.037256667,0.04004,0.047163333,0.038683333
6.51888,0.021083333,0.024586667,0.037566667,0.03851,0.048636667,0.040533333
6.56448,0.019853333,0.025986667,0.04027,0.040636667,0.047826667,0.039183333
6.61039,0.0181,0.025536667,0.04111,0.042106667,0.04984,0.039976667
6.65662,0.018863333,0.023773333,0.037143333,0.038876667,0.04837,0.040386667
6.70319,0.01497,0.021173333,0.03665,0.040733333,0.047003333,0.03616
6.75006,0.021703333,0.02336,0.03982,0.040016667,0.047853333,0.03764
6.79728,0.01886,0.02231,0.03696,0.039923333,0.0473,0.036366667
6.8448,0.019873333,0.025293333,0.039366667,0.038933333,0.049676667,0.038466667
6.89266,0.02023,0.02693,0.037646667,0.041163333,0.047533333,0.039626667
6.94086,0.018786667,0.02312,0.039266667,0.038873333,0.044893333,0.035563333
6.98939,0.019263333,0.02469,0.04074,0.038093333,0.047446667,0.03886
7.03825,0.017326667,0.02063,0.036353333,0.038976667,0.04595,0.033913333
7.08745,0.02039,0.02435,0.037676667,0.04447,0.04776,0.038106667
7.137,0.020786667,0.023923333,0.03683,0.040986667,0.046173333,0.037126667
7.18689,0.020466667,0.024876667,0.038243333,0.03943,0.046496667,0.036366667
7.23711,0.017353333,0.022236667,0.032826667,0.03973,0.04527,0.034916667
7.2877,0.01837,0.02303,0.03625,0.04037,0.04561,0.035756667
7.33862,0.017883333,0.023713333,0.036816667,0.038873333,0.044493333,0.036036667
7.38991,0.0204,0.023983333,0.038023333,0.042643333,0.04587,0.03824
7.44155,0.01998,0.023086667,0.035456667,0.040213333,0.048076667,0.03626
7.49355,0.020636667,0.0222,0.037483333,0.037443333,0.046303333,0.03637
7.54591,0.01898,0.024336667,0.037116667,0.038126667,0.046736667,0.035986667
7.59864,0.018693333,0.02411,0.03569,0.04217,0.048386667,0.03871
7.65172,0.015583333,0.021916667,0.032726667,0.034666667,0.042353333,0.035243333
7.70517,0.01869,0.025113333,0.037276667,0.03994,0.047,0.03872
7.759,0.018676667,0.02184,0.03435,0.038186667,0.045226667,0.034593333
7.8132,0.01422,0.01927,0.033606667,0.036086667,0.042786667,0.03405
7.86777,0.018746667,0.020773333,0.036826667,0.038306667,0.044136667,0.035903333
7.92273,0.01719,0.02164,0.033033333,0.035123333,0.042503333,0.034703333
7.97806,0.015943333,0.021083333,0.033033333,0.035396667,0.044583333,0.034193333
8.03378,0.018126667,0.019846667,0.032863333,0.036213333,0.044056667,0.033883333
8.08988,0.017683333,0.021576667,0.035406667,0.03639,0.04381,0.037443333
8.14637,0.015753333,0.021196667,0.034433333,0.035773333,0.04292,0.03436
8.20326,0.016423333,0.023103333,0.036116667,0.03697,0.04604,0.031936667
8.26054,0.016963333,0.022743333,0.03409,0.036163333,0.04453,0.035903333
8.31821,0.016896667,0.019793333,0.032113333,0.0351,0.04263,0.033343333
8.37629,0.016193333,0.02032,0.03354,0.036773333,0.043806667,0.034523333
8.43476,0.01857,0.019866667,0.035033333,0.036,0.04449,0.034376667
8.49365,0.016866667,0.019626667,0.034023333,0.035106667,0.041686667,0.03389
8.55294,0.018276667,0.020976667,0.036283333,0.037046667,0.04418,0.03496
8.61264,0.019,0.021683333,0.03597,0.03519,0.043923333,0.036053333
8.67275,0.017073333,0.01993,0.03431,0.035703333,0.043893333,0.031986667
8.73329,0.01573,0.020573333,0.035666667,0.036936667,0.04401,0.033316667
8.79424,0.017166667,0.019006667,0.033516667,0.03433,0.042913333,0.032046667
8.85561,0.018723333,0.022713333,0.033856667,0.03479,0.04428,0.03509
8.91741,0.017463333,0.02121,0.03421,0.03536,0.042413333,0.033353333
8.97964,0.015606667,0.017843333,0.034206667,0.034786667,0.042876667,0.032726667
9.0423,0.01367,0.018806667,0.034863333,0.032483333,0.04065,0.030926667
9.1054,0.013153333,0.01887,0.031586667,0.03119,0.03814,0.029456667
9.16893,0.018233333,0.0219,0.034446667,0.03612,0.042163333,0.03356
9.2329,0.016786667,0.021246667,0.03575,0.03632,0.04191,0.03499
9.29731,0.017316667,0.020446667,0.033846667,0.037236667,0.043043333,0.03417
9.36217,0.014723333,0.020173333,0.031673333,0.033463333,0.042146667,0.034173333
9.42749,0.014316667,0.018596667,0.03249,0.032643333,0.041003333,0.031503333
9.49325,0.014233333,0.018643333,0.03324,0.03492,0.04186,0.03097
9.55947,0.015126667,0.01941,0.034553333,0.035483333,0.040546667,0.033406667
9.62615,0.014476667,0.01709,0.031606667,0.032103333,0.040523333,0.029816667
9.69329,0.012123333,0.01718,0.030356667,0.033903333,0.039066667,0.0289
9.7609,0.01694,0.017356667,0.033896667,0.03404,0.03979,0.031533333
9.82897,0.013963333,0.019106667,0.033023333,0.034726667,0.0409,0.030586667
9.89752,0.012533333,0.0171,0.03187,0.032003333,0.038946667,0.029726667
9.96654,0.01649,0.020356667,0.03443,0.03495,0.040753333,0.03097
10.036,0.013753333,0.018483333,0.031393333,0.032316667,0.039266667,0.02855
10.106,0.01457,0.018746667,0.029943333,0.035286667,0.04013,0.03278
10.1765,0.0125,0.015163333,0.029266667,0.03117,0.038226667,0.027596667
10.2474,0.013123333,0.017613333,0.031876667,0.033893333,0.039433333,0.03204
10.3189,0.013083333,0.016563333,0.030053333,0.033046667,0.03735,0.02831
10.3908,0.01241,0.01495,0.028463333,0.032026667,0.038253333,0.028243333
10.4633,0.014073333,0.016796667,0.029296667,0.031856667,0.03802,0.03154
10.5362,0.013006667,0.017343333,0.032453333,0.03285,0.03888,0.030023333
